mean_r,mean_g,mean_b,brightness_mean,brightness_std,label
70.43623697916667,74.05010091145833,74.584677734375,73.03593424479166,73.18047153310899,artificial
66.85370768229167,70.30886393229167,70.34723307291667,69.27668619791666,72.29573082865936,artificial
67.95511067708334,68.796630859375,68.957578125,68.57220052083333,71.54067253981735,artificial
65.41554361979166,68.39802734375,70.31701497395834,67.71820638020833,71.94063975038299,artificial
67.77752278645833,68.73083984375,70.07900390625,68.610185546875,71.61958968098284,artificial
65.55461263020834,68.35510416666666,70.963134765625,67.80833984375,72.05245655459068,artificial
68.06097981770833,68.67669596354166,70.79121744791667,68.74530598958333,71.72593310595123,artificial
65.40441080729167,68.43059244791667,71.11162760416667,67.826982421875,72.09189671578297,artificial
67.73733072916667,68.31188802083334,71.14138997395834,68.47161458333333,71.8069559815833,artificial
67.54123372395833,68.30268880208334,71.18438151041667,68.41083984375,71.7904734383902,artificial
67.32152994791667,68.35361653645833,71.33263346354167,68.39434244791667,71.71050911638883,artificial
67.22432291666667,68.40307291666667,71.41506510416667,68.40283203125,71.70084484044638,artificial
67.13968098958334,68.42095052083333,71.431396484375,68.390546875,71.67037928886145,artificial
67.05317708333334,68.78876953125,71.84729166666666,68.62209635416667,71.48452917583437,artificial
66.99410481770833,68.82738932291667,71.93819986979166,68.63805338541667,71.4755435381591,artificial
66.933896484375,68.93254231770834,72.06023111979167,68.69454752604166,71.45301565947395,artificial
66.92716471354167,68.95564778645833,72.0960546875,68.71023111979167,71.44318470937544,artificial
66.74121744791667,68.98044596354167,72.181953125,68.68067057291667,71.44586721061908,artificial
66.74684895833333,68.96130533854166,72.15651692708333,68.66848307291667,71.45346992803236,artificial
66.54371419270834,68.89497721354167,72.128818359375,68.56429036458333,71.50105268258486,artificial
66.56126627604166,68.89041666666667,72.1596875,68.56984049479166,71.50464026436703,artificial
66.523369140625,68.87091471354167,72.145947265625,68.54853190104167,71.5591028678276,artificial
66.50715494791666,68.8824609375,72.18056315104167,68.55270182291666,71.56958663868643,artificial
66.54205403645834,68.86701822916666,72.21724934895833,68.55902994791667,71.59660380858567,artificial
66.53073567708333,68.86110677083333,72.244345703125,68.55634440104167,71.60474173440008,artificial
66.48924153645834,68.85966471354166,72.25077799479166,68.54280924479167,71.61241133863,artificial
66.52372395833333,68.863017578125,72.25357096354166,68.55732096354167,71.61120182854057,artificial
66.16081380208334,68.89125325520833,72.32142252604167,68.47125325520834,71.50552085095478,artificial
66.14995768229167,68.90186197916667,72.365458984375,68.48015625,71.51205689046256,artificial
66.14664713541667,68.89541666666666,72.37619791666667,68.47507486979167,71.50558683802535,artificial
66.20709309895834,68.92858723958334,72.41854166666667,68.51814778645833,71.49372966628158,artificial
66.235498046875,68.93552734375,72.40608072916666,68.52930013020833,71.49137036058002,artificial
66.23830403645833,68.94908854166667,72.41195638020834,68.53933919270834,71.49989384338565,artificial
66.20612955729166,68.955234375,72.46636393229167,68.53944010416667,71.4977841053706,artificial
66.21944986979166,68.97365559895833,72.48198567708333,68.555224609375,71.48736187098929,artificial
66.23175455729167,68.96649739583333,72.46252278645834,68.55419596354167,71.47532407845699,artificial
66.22638346354167,68.969599609375,72.48767903645833,68.55666666666667,71.46173558956025,artificial
66.21155924479167,68.95541015625,72.49062174479167,68.54405924479167,71.43068185370367,artificial
66.12646158854167,68.963486328125,72.517705078125,68.52717447916666,71.38774124518402,artificial
66.14160807291667,68.967646484375,72.517060546875,68.53523763020833,71.3654347372487,artificial
66.19333333333333,68.99148111979167,72.538076171875,68.56679361979167,71.33783455413244,artificial
66.14817057291667,69.03673502604167,72.62581380208333,68.591083984375,71.32260937005617,artificial
66.195556640625,69.0712109375,72.67244466145833,68.63009440104166,71.29124118879179,artificial
66.24646158854166,69.10904296875,72.73534830729167,68.67673828125,71.27004524705622,artificial
66.26410481770833,69.15845377604167,72.79481770833333,68.71785481770833,71.2440254728808,artificial
66.33878255208333,69.23252604166667,72.86855794270834,68.792880859375,71.21649803167774,artificial
66.39208658854167,69.29373697916667,72.91565755208333,68.849833984375,71.17303348607857,artificial
66.43563151041667,69.37390950520833,73.00380859375,68.92014973958334,71.15912345229114,artificial
66.51694986979167,69.43613932291667,73.05435546875,68.98823893229167,71.13020508806365,artificial
66.59430013020834,69.524736328125,73.15561848958333,69.07285807291667,71.10823490925326,artificial
66.69429036458334,69.61500651041666,73.25466796875,69.16728190104166,71.06722097862671,artificial
66.71612630208334,69.68540690104167,73.32712565104167,69.223935546875,71.04646618536448,artificial
66.78136067708333,69.76490234375,73.41753580729167,69.30082356770833,71.0272404323603,artificial
66.864951171875,69.85944986979166,73.51484049479167,69.39302734375,71.00374193907541,artificial
66.97212890625,69.9430859375,73.57110677083334,69.47925130208333,70.97217342184683,artificial
67.06390950520833,70.01590169270834,73.63380533854166,69.55575520833334,70.93136195509473,artificial
67.13709309895833,70.09811197916666,73.67906901041667,69.633037109375,70.88964297282804,artificial
67.26298502604166,70.17277669270834,73.74373697916667,69.72175455729166,70.85640770188904,artificial
67.31029622395833,70.248232421875,73.81297526041666,69.78606770833333,70.8218051672029,artificial
67.41073893229166,70.29514973958334,73.82295247395834,69.84577799479166,70.80608105707906,artificial
67.42408203125,70.34208333333333,73.87710286458334,69.88291341145833,70.76922974444055,artificial
67.488427734375,70.367919921875,73.9003515625,69.91799153645833,70.74329641388316,artificial
67.52065104166667,70.42866536458334,73.945888671875,69.96935221354167,70.72689838466145,artificial
67.57660481770833,70.4432421875,73.94044270833334,69.9940234375,70.72006229051591,artificial
