std_v,mean_b,skew_v,v_95,Etiqueta
0.0877868127138808,0.8499315799224514,-0.3921761175265586,0.0332832077386458,natural
-1.5843448326230172,0.133735469234523,1.3853417133015764,-1.5231938961146652,pantallas
-1.4192101127328702,0.1460514130543346,1.2088107467901188,-1.3605768852643192,pantallas
-1.9171407192096663,0.1464556343256263,2.0067818590582576,-1.7903504139402335,pantallas
0.7520462589915772,-1.096463518768832,-0.6226890962591377,0.9276767674155484,natural
0.7719158864631565,-1.2524242903169442,-0.714033545388384,0.9276767674155484,mix
0.3575684472875141,0.9458679152424004,-0.5165669700962754,0.7534442557901778,mix
0.5435916201911316,1.3495886397052586,-0.5050472209475002,0.4979032387396342,artificial
0.553283078943417,1.1192066252976445,-0.2519695310467242,0.2888242247891894,artificial
-0.8279241690632749,0.3934064525380744,0.3216284951631615,-1.0004963612385531,pantallas
-1.571950975905296,0.1824165613969512,1.3239620959427862,-1.5231938961146652,pantallas
0.2901599666008344,0.9845147680727256,-0.5173231973469047,0.7302132542401284,mix
0.7918830801772256,-1.0189979267799214,-0.614740665489074,0.9276767674155484,natural
-1.4856037933693669,0.1978122698513899,1.885856985717845,-1.6393489038649125,pantallas
0.7880224745167517,-1.686631996775736,-1.037182876303738,0.3933637317644118,artificial
-1.8555368724747177,0.180019035517585,1.960745739824448,-1.743888410840135,pantallas
0.5798183309111006,1.0093583412239973,-0.2461017951117895,0.1262072139388435,artificial
0.5723338177172758,1.0063610589549423,-0.2486808585903946,0.1378227147138682,artificial
0.6036093982710895,1.0604843722060036,-0.2650469158052119,0.1378227147138682,artificial
0.2635465664584973,1.0497503594059556,-0.4928887646194613,0.7418287550151531,mix
0.7718349532148984,-1.1171094893520177,-0.6489605682366274,0.8463682619903755,natural
0.3335819830964426,0.9255389538069108,-0.5228790847495879,0.7534442557901778,mix
0.82248370800574,-1.2301847373588584,-0.5671992751594412,0.9276767674155484,natural
-1.7015938166007971,0.1518299084026161,1.6801561862405543,-1.6277334030898876,pantallas
0.5959266315800339,1.040724135333149,-0.2597839320457316,0.1378227147138682,artificial
0.7521311909977538,-1.1037917597103135,-0.6991548612868714,0.9276767674155484,mix
0.7415530702303301,-1.1344858128198234,-0.6164434164335946,0.9276767674155484,natural
0.7190292801426637,-1.0351803901059986,-0.604946980239661,0.9276767674155484,natural
0.7722331669264197,1.1372019702670957,-0.4850462009173389,0.6140582464898813,artificial
0.7349920701753744,-1.0517788414184577,-0.5730186815658612,0.9276767674155484,natural
0.4875228219060731,0.9538615523861728,-0.1976065360488132,0.1610537162639176,artificial
-1.5268986493210128,0.1844864650130558,2.011156176562291,-1.7090419085150603,pantallas
-1.0608261380048976,0.1221527532686933,1.5143840376255917,-1.4186543891394428,pantallas
