columna,categoria,cat_short,count,min,max,range,mean,median,std,cv,skewness,kurtosis,p25,p75
std_v,artificial,AR,2300,27.35401337898084,67.56366585297711,40.20965247399627,56.696432753093085,57.11035957413582,3.054501273260373,5.3874664153252825,0.16234852585925683,3.4000218720280024,53.73645169530438,57.98558783748804
std_v,mix,MIX,2000,46.61822086968363,59.57817600869336,12.959955139009729,53.08627432378352,53.14415573077899,4.12670486791229,7.7735816281676,-0.02423279115925318,-1.8294919119591215,49.17511426433518,57.275765715749245
std_v,natural,NA,2000,33.22829945320239,71.70792518646519,38.4796257332628,50.86854534471902,53.901247881178236,6.693207353666185,13.15785090434289,-0.019595205746474165,-1.5188106891407582,44.57037008738759,57.01670517723796
std_v,pantallas,PAN,2300,2.700616265711689,30.17345234895552,27.472836083243834,13.176001535711299,13.779510539980535,3.480584489928826,26.416090499802213,0.6596117265371252,1.4673459482772975,10.017260829586588,15.41728379361889
mean_b,artificial,AR,2300,-16.58159722222223,14.775055338541677,31.356652560763905,-1.0738405820689925,8.69534993489583,12.947035993024999,-1205.6757966885232,-0.24258721069934092,-1.9076119068297162,-15.961124674479171,10.161208496093742
mean_b,mix,MIX,2000,-14.242911241319447,10.186462673611118,24.429373914930565,-0.7409932280815974,-0.5595203993055549,10.038304804980736,-1354.7093852624694,-0.01312827642075589,-1.9727480370153432,-10.635708007812498,9.326645236545145
mean_b,natural,NA,2000,-15.027785373263896,11.017455512152765,26.04524088541666,-1.0254223524305544,-3.9744070095486137,9.757592092124847,-951.568109374295,0.011906694461249914,-1.9557958325937685,-10.608120117187497,8.549862738715277
mean_b,pantallas,PAN,2300,-0.3675260416666646,3.63982747395832,4.007353515624985,1.2733789062499998,1.3003021918402737,0.30092951273121865,23.632361998003585,0.5505125230715573,9.426273580710689,1.1424633789062495,1.4304481336805637
skew_v,artificial,AR,2300,-0.8623367107828712,2.680676339776331,3.5430130505592023,-0.06074630517959527,0.193890609462199,0.6645931264689627,-1094.0469951285204,-0.04104922291026025,-1.6754887938862002,-0.7977286232534222,0.6783998433963577
skew_v,mix,MIX,2000,-0.2806359175223797,0.2712060965862454,0.5518420141086251,0.03743000812102609,0.07990235464783806,0.1620573068347698,432.9609181776667,-0.1264465286828338,-1.6147867246430985,-0.1266367987035636,0.1961582643148383
skew_v,natural,NA,2000,-0.3888516024218563,1.167852799852601,1.5567044022744572,0.2175746165157356,0.29503674426205284,0.2504054398771555,115.08945477518309,0.22367209481806172,-0.5758654457097836,-0.012673456099509475,0.41800163184579436
skew_v,pantallas,PAN,2300,1.1693665302016356,7.467574531974437,6.298208001772801,4.434643727637185,4.59137989715134,0.7632435570325158,17.21093291611902,-1.212145346527039,2.729027661892581,3.9302343105864352,5.030443525816145
v_95,artificial,AR,2300,77.0,255.0,178.0,210.0900434782608,209.0,18.295279436835123,8.70830389386265,0.4037444637361427,1.0066791153218553,201.0,215.0
v_95,mix,MIX,2000,238.0,255.0,17.0,247.35004999999992,245.0,7.397102544951724,2.9905401454140503,0.000902706693015374,-1.928010797862222,240.0,255.0
v_95,natural,NA,2000,124.0,255.0,131.0,214.1835,241.0,40.26405872440682,18.798861128147976,-0.09380372829057274,-1.821112048811703,176.0,255.0
v_95,pantallas,PAN,2300,7.0,105.0,98.0,33.996152173912954,32.0,12.417888173630626,36.52733435862053,1.1244882931740086,2.0996479692308805,24.0,42.0
