columna,count,missing,missing_pct,min,max,range,mean,median,mode,std,variance,skewness,kurtosis,p1,p5,p25,p50,p75,p95,p99,iqr,outlier_lower,outlier_upper,n_outliers,pct_outliers
std_v,8600,0,0.0,2.700616265711689,71.70792518646519,69.0073089207535,42.86235327921572,51.96368576150891,23.99829869817077,18.607384160487626,346.23474529596575,-0.8891432624158709,-0.9332877294983861,8.421731672264526,9.566703508951756,17.646697388655006,51.96368576150891,57.153538280153434,59.7799908621811,63.2174168820735,39.50684089149843,-41.613563948592635,116.41379961740108,0,0.0
mean_b,8600,0,0.0,-16.58159722222223,14.775055338541677,31.356652560763905,-0.35742942039627734,1.3327191840277806,-10.40142686631944,9.55957805888911,91.38553266399411,-0.3523187667011259,-1.3896074370428464,-16.207145193142367,-16.036271755642364,-10.47396620008681,1.3327191840277806,9.108857421875001,10.494533799913182,12.97885680338541,19.58282362196181,-39.84820163302953,38.48309285481772,0,0.0
skew_v,8600,0,0.0,-0.8623367107828712,7.467574531974437,8.329911242757309,1.229066665223951,0.2665032368571456,0.2077513292803589,2.014000564762614,4.056198274864128,1.032042970555497,-0.6064588511849021,-0.8247281509369228,-0.8028696779607457,-0.04243367214678642,0.2665032368571456,3.532502588684947,5.0841595211259225,5.281820973532145,3.5749362608317337,-5.404838063394386,8.894906979932546,0,0.0
v_95,8600,0,0.0,7.0,255.0,248.0,172.61224999999996,208.0,255.0,87.95707598369849,7736.44721560211,-0.7964380515306729,-1.0368471075105097,19.0,22.0,53.0,208.0,243.0,255.0,255.0,190.0,-232.0,528.0,0,0.0
